Attn: hyper_race, Epochs: 33
--------------------------------------------------------------------------------
Attn: hyper_race, Epochs: 33
--------------------------------------------------------------------------------
Ep  1 | train_loss 2.4231, acc 0.1211 (666.7s) | val_loss 2.2705, acc 0.1888 (26.5s) | lr 9.270e-05 | updates 54/1782
Ep  2 | train_loss 1.8281, acc 0.3352 (665.8s) | val_loss 1.4185, acc 0.4674 (26.5s) | lr 1.837e-04 | updates 108/1782
Ep  3 | train_loss 1.1994, acc 0.5852 (665.7s) | val_loss 1.0166, acc 0.6551 (26.5s) | lr 2.747e-04 | updates 162/1782
Ep  4 | train_loss 0.9124, acc 0.6865 (665.8s) | val_loss 0.7708, acc 0.7315 (26.5s) | lr 2.927e-04 | updates 216/1782
Ep  5 | train_loss 0.8094, acc 0.7395 (665.8s) | val_loss 0.5579, acc 0.8202 (26.5s) | lr 2.826e-04 | updates 270/1782
Ep  6 | train_loss 0.5058, acc 0.8339 (665.7s) | val_loss 0.4656, acc 0.8584 (26.5s) | lr 2.725e-04 | updates 324/1782
Ep  7 | train_loss 0.3921, acc 0.8733 (665.4s) | val_loss 0.3941, acc 0.8708 (26.5s) | lr 2.624e-04 | updates 378/1782
Ep  8 | train_loss 0.2880, acc 0.9075 (665.9s) | val_loss 0.3242, acc 0.9011 (26.4s) | lr 2.523e-04 | updates 432/1782
Ep  9 | train_loss 0.2252, acc 0.9302 (665.6s) | val_loss 0.3218, acc 0.9079 (26.5s) | lr 2.422e-04 | updates 486/1782
Ep 10 | train_loss 0.1945, acc 0.9395 (665.6s) | val_loss 0.3141, acc 0.9045 (26.5s) | lr 2.321e-04 | updates 540/1782
Ep 11 | train_loss 0.1567, acc 0.9503 (665.9s) | val_loss 0.2658, acc 0.9191 (26.5s) | lr 2.220e-04 | updates 594/1782
Ep 12 | train_loss 0.1633, acc 0.9490 (665.3s) | val_loss 0.2924, acc 0.9281 (26.5s) | lr 2.119e-04 | updates 648/1782
Ep 13 | train_loss 0.1042, acc 0.9666 (665.4s) | val_loss 0.2629, acc 0.9281 (26.5s) | lr 2.018e-04 | updates 702/1782
Ep 14 | train_loss 0.0896, acc 0.9725 (665.8s) | val_loss 0.3178, acc 0.9135 (26.5s) | lr 1.917e-04 | updates 756/1782
Ep 15 | train_loss 0.0721, acc 0.9770 (665.5s) | val_loss 0.2697, acc 0.9236 (26.5s) | lr 1.816e-04 | updates 810/1782
Ep 16 | train_loss 0.0598, acc 0.9809 (665.6s) | val_loss 0.2748, acc 0.9326 (26.5s) | lr 1.715e-04 | updates 864/1782
Ep 17 | train_loss 0.0467, acc 0.9865 (665.7s) | val_loss 0.2938, acc 0.9292 (26.5s) | lr 1.614e-04 | updates 918/1782
Ep 18 | train_loss 0.0368, acc 0.9898 (665.7s) | val_loss 0.3081, acc 0.9225 (26.5s) | lr 1.513e-04 | updates 972/1782
Ep 19 | train_loss 0.0358, acc 0.9898 (665.6s) | val_loss 0.3631, acc 0.9191 (26.5s) | lr 1.412e-04 | updates 1026/1782
Ep 20 | train_loss 0.0300, acc 0.9908 (665.8s) | val_loss 0.3090, acc 0.9326 (26.5s) | lr 1.311e-04 | updates 1080/1782
Ep 21 | train_loss 0.0252, acc 0.9932 (665.8s) | val_loss 0.2877, acc 0.9371 (26.5s) | lr 1.210e-04 | updates 1134/1782
Ep 22 | train_loss 0.0198, acc 0.9949 (665.7s) | val_loss 0.2883, acc 0.9348 (26.5s) | lr 1.109e-04 | updates 1188/1782
Ep 23 | train_loss 0.0145, acc 0.9974 (666.1s) | val_loss 0.3325, acc 0.9270 (26.5s) | lr 1.008e-04 | updates 1242/1782
Ep 24 | train_loss 0.0130, acc 0.9964 (666.0s) | val_loss 0.3335, acc 0.9303 (26.5s) | lr 9.071e-05 | updates 1296/1782
Ep 25 | train_loss 0.0122, acc 0.9971 (665.9s) | val_loss 0.3073, acc 0.9371 (26.5s) | lr 8.061e-05 | updates 1350/1782
Ep 26 | train_loss 0.0094, acc 0.9983 (665.6s) | val_loss 0.3188, acc 0.9348 (26.5s) | lr 7.051e-05 | updates 1404/1782
Ep 27 | train_loss 0.0104, acc 0.9978 (665.8s) | val_loss 0.3628, acc 0.9303 (26.5s) | lr 6.041e-05 | updates 1458/1782
Ep 28 | train_loss 0.0056, acc 0.9991 (665.8s) | val_loss 0.3154, acc 0.9348 (26.5s) | lr 5.031e-05 | updates 1512/1782
Ep 29 | train_loss 0.0052, acc 0.9993 (665.8s) | val_loss 0.3216, acc 0.9348 (26.5s) | lr 4.021e-05 | updates 1566/1782
Ep 30 | train_loss 0.0062, acc 0.9991 (665.5s) | val_loss 0.3343, acc 0.9348 (26.5s) | lr 3.011e-05 | updates 1620/1782
Ep 31 | train_loss 0.0052, acc 0.9991 (665.9s) | val_loss 0.3173, acc 0.9382 (26.5s) | lr 2.001e-05 | updates 1674/1782
Ep 32 | train_loss 0.0039, acc 0.9996 (665.6s) | val_loss 0.3221, acc 0.9348 (26.5s) | lr 9.913e-06 | updates 1728/1782
Ep 33 | train_loss 0.0043, acc 0.9993 (665.8s) | val_loss 0.3117, acc 0.9393 (26.5s) | lr -1.870e-07 | updates 1782/1782
--------------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/arxiv_hyper_race_644K.txt
Attn: hyper_race, Epochs: 33
--------------------------------------------------------------------------------
Ep  1 | train_loss 2.2381, acc 0.1797 (595.9s) | val_loss 1.7083, acc 0.3787 (28.2s) | lr 9.140e-05 | updates 215/7095
Ep  2 | train_loss 1.2405, acc 0.5585 (594.2s) | val_loss 1.1425, acc 0.5831 (28.1s) | lr 1.824e-04 | updates 430/7095
Ep  3 | train_loss 0.8178, acc 0.7224 (594.6s) | val_loss 0.5008, acc 0.8315 (28.1s) | lr 2.733e-04 | updates 645/7095
Ep  4 | train_loss 0.4678, acc 0.8472 (594.6s) | val_loss 0.3900, acc 0.8753 (28.1s) | lr 2.929e-04 | updates 860/7095
Ep  5 | train_loss 0.3196, acc 0.8973 (594.6s) | val_loss 0.3559, acc 0.8843 (28.1s) | lr 2.828e-04 | updates 1075/7095
Ep  6 | train_loss 0.2210, acc 0.9262 (594.5s) | val_loss 0.3028, acc 0.9067 (28.2s) | lr 2.727e-04 | updates 1290/7095
Ep  7 | train_loss 0.1688, acc 0.9438 (594.1s) | val_loss 0.3015, acc 0.9213 (28.2s) | lr 2.626e-04 | updates 1505/7095
Ep  8 | train_loss 0.1268, acc 0.9569 (594.7s) | val_loss 0.2790, acc 0.9213 (28.1s) | lr 2.525e-04 | updates 1720/7095
Ep  9 | train_loss 0.0900, acc 0.9728 (594.3s) | val_loss 0.2863, acc 0.9315 (28.2s) | lr 2.424e-04 | updates 1935/7095
Ep 10 | train_loss 0.0677, acc 0.9767 (594.4s) | val_loss 0.3181, acc 0.9258 (28.2s) | lr 2.323e-04 | updates 2150/7095
Ep 11 | train_loss 0.0517, acc 0.9834 (594.5s) | val_loss 0.3060, acc 0.9281 (28.1s) | lr 2.222e-04 | updates 2365/7095
Ep 12 | train_loss 0.0532, acc 0.9827 (594.3s) | val_loss 0.3478, acc 0.9337 (28.2s) | lr 2.121e-04 | updates 2580/7095
Ep 13 | train_loss 0.0365, acc 0.9881 (594.3s) | val_loss 0.3718, acc 0.9292 (28.1s) | lr 2.020e-04 | updates 2795/7095
Ep 14 | train_loss 0.0185, acc 0.9945 (594.5s) | val_loss 0.3562, acc 0.9315 (28.1s) | lr 1.919e-04 | updates 3010/7095
Ep 15 | train_loss 0.0178, acc 0.9946 (594.2s) | val_loss 0.3425, acc 0.9404 (28.1s) | lr 1.818e-04 | updates 3225/7095
Ep 16 | train_loss 0.0148, acc 0.9946 (594.4s) | val_loss 0.3865, acc 0.9258 (28.1s) | lr 1.717e-04 | updates 3440/7095
Ep 17 | train_loss 0.0119, acc 0.9961 (594.3s) | val_loss 0.4056, acc 0.9326 (28.2s) | lr 1.616e-04 | updates 3655/7095
Ep 18 | train_loss 0.0104, acc 0.9969 (594.6s) | val_loss 0.4417, acc 0.9337 (28.2s) | lr 1.515e-04 | updates 3870/7095
Ep 19 | train_loss 0.0099, acc 0.9975 (594.4s) | val_loss 0.3783, acc 0.9382 (28.2s) | lr 1.414e-04 | updates 4085/7095
Ep 20 | train_loss 0.0056, acc 0.9984 (594.6s) | val_loss 0.4014, acc 0.9404 (28.2s) | lr 1.313e-04 | updates 4300/7095
Ep 21 | train_loss 0.0038, acc 0.9987 (594.7s) | val_loss 0.3907, acc 0.9371 (28.2s) | lr 1.212e-04 | updates 4515/7095
Ep 22 | train_loss 0.0065, acc 0.9975 (594.5s) | val_loss 0.4118, acc 0.9337 (28.1s) | lr 1.111e-04 | updates 4730/7095
