Epochs: 1
------------------------------------------------------------------------
Ep  1 | train_loss 3.6361, acc 0.0408 (104.9s) | val_loss 3.5104, acc 0.0531 (32.1s) | lr -5.263e-06 | updates 115/115
------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/trial_exact_flash_K2_L5_M1_VIT.txt
Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 3.6323, acc 0.0454 (105.0s) | val_loss 3.6056, acc 0.0542 (32.1s) | lr 4.047e-04 | updates 115/17250
Ep  2 | train_loss 3.5658, acc 0.0576 (105.0s) | val_loss 3.5018, acc 0.0687 (32.1s) | lr 5.979e-04 | updates 230/17250
Ep  3 | train_loss 3.4933, acc 0.0639 (104.9s) | val_loss 3.4355, acc 0.0720 (32.1s) | lr 5.939e-04 | updates 345/17250
Ep  4 | train_loss 3.4171, acc 0.0821 (104.8s) | val_loss 3.4048, acc 0.0867 (32.1s) | lr 5.898e-04 | updates 460/17250
Ep  5 | train_loss 3.3576, acc 0.0946 (104.9s) | val_loss 3.3249, acc 0.1041 (32.1s) | lr 5.858e-04 | updates 575/17250
Ep  6 | train_loss 3.2907, acc 0.1071 (104.9s) | val_loss 3.4072, acc 0.0785 (32.1s) | lr 5.818e-04 | updates 690/17250
Ep  7 | train_loss 3.2494, acc 0.1136 (104.9s) | val_loss 3.2912, acc 0.1063 (32.1s) | lr 5.777e-04 | updates 805/17250
Ep  8 | train_loss 3.2309, acc 0.1293 (104.8s) | val_loss 3.3176, acc 0.1120 (32.0s) | lr 5.737e-04 | updates 920/17250
Ep  9 | train_loss 3.1837, acc 0.1380 (104.8s) | val_loss 3.2970, acc 0.1186 (32.0s) | lr 5.696e-04 | updates 1035/17250
Ep 10 | train_loss 3.1417, acc 0.1446 (104.8s) | val_loss 3.3434, acc 0.1068 (32.0s) | lr 5.656e-04 | updates 1150/17250
Ep 11 | train_loss 3.0830, acc 0.1652 (104.8s) | val_loss 3.4139, acc 0.1224 (32.0s) | lr 5.616e-04 | updates 1265/17250
Ep 12 | train_loss 3.0519, acc 0.1617 (104.8s) | val_loss 3.1646, acc 0.1295 (32.0s) | lr 5.575e-04 | updates 1380/17250
Ep 13 | train_loss 2.9999, acc 0.1731 (104.8s) | val_loss 3.1376, acc 0.1469 (32.1s) | lr 5.535e-04 | updates 1495/17250
Ep 14 | train_loss 2.9511, acc 0.1880 (104.8s) | val_loss 3.1770, acc 0.1488 (32.0s) | lr 5.494e-04 | updates 1610/17250
Ep 15 | train_loss 2.9159, acc 0.1986 (104.8s) | val_loss 3.1553, acc 0.1442 (32.1s) | lr 5.454e-04 | updates 1725/17250
Ep 16 | train_loss 2.8852, acc 0.2035 (104.9s) | val_loss 3.1680, acc 0.1510 (32.0s) | lr 5.414e-04 | updates 1840/17250
Ep 17 | train_loss 2.8617, acc 0.2062 (104.8s) | val_loss 3.1211, acc 0.1472 (32.1s) | lr 5.373e-04 | updates 1955/17250
Ep 18 | train_loss 2.8261, acc 0.2209 (104.8s) | val_loss 3.0639, acc 0.1578 (32.0s) | lr 5.333e-04 | updates 2070/17250
Ep 19 | train_loss 2.8064, acc 0.2239 (104.8s) | val_loss 3.2417, acc 0.1442 (32.1s) | lr 5.292e-04 | updates 2185/17250
Ep 20 | train_loss 2.7742, acc 0.2255 (104.8s) | val_loss 3.0100, acc 0.1720 (32.0s) | lr 5.252e-04 | updates 2300/17250
Ep 21 | train_loss 2.7452, acc 0.2299 (104.8s) | val_loss 3.0591, acc 0.1837 (32.0s) | lr 5.212e-04 | updates 2415/17250
