Epochs: 1
------------------------------------------------------------------------
Ep  1 | train_loss 3.6580, acc 0.0451 (167.9s) | val_loss 3.5319, acc 0.0559 (24.4s) | lr -5.263e-06 | updates 115/115
------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/trial_hyper_lsh_K2_L5_M1_VIT.txt
Epochs: 1
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 3.6671, acc 0.0451 (168.7s) | val_loss 3.6872, acc 0.0444 (24.7s) | lr 4.047e-04 | updates 115/17250
Ep  2 | train_loss 3.6247, acc 0.0516 (167.7s) | val_loss 3.5591, acc 0.0567 (24.5s) | lr 5.979e-04 | updates 230/17250
Ep  3 | train_loss 3.5826, acc 0.0568 (167.8s) | val_loss 3.5396, acc 0.0548 (24.4s) | lr 5.939e-04 | updates 345/17250
Ep  4 | train_loss 3.5054, acc 0.0636 (167.7s) | val_loss 3.5627, acc 0.0597 (24.5s) | lr 5.898e-04 | updates 460/17250
Ep  5 | train_loss 3.4971, acc 0.0709 (167.7s) | val_loss 3.5189, acc 0.0665 (24.5s) | lr 5.858e-04 | updates 575/17250
Ep  6 | train_loss 3.5021, acc 0.0614 (167.8s) | val_loss 3.5206, acc 0.0512 (24.9s) | lr 5.818e-04 | updates 690/17250
Ep  7 | train_loss 3.4888, acc 0.0704 (167.8s) | val_loss 3.4999, acc 0.0684 (24.6s) | lr 5.777e-04 | updates 805/17250
Ep  8 | train_loss 3.4639, acc 0.0698 (167.7s) | val_loss 3.5665, acc 0.0578 (24.5s) | lr 5.737e-04 | updates 920/17250
Ep  9 | train_loss 3.4737, acc 0.0698 (167.7s) | val_loss 3.4980, acc 0.0602 (24.8s) | lr 5.696e-04 | updates 1035/17250
Ep 10 | train_loss 3.4574, acc 0.0736 (167.7s) | val_loss 3.4597, acc 0.0668 (24.4s) | lr 5.656e-04 | updates 1150/17250
Ep 11 | train_loss 3.4520, acc 0.0709 (167.7s) | val_loss 3.5103, acc 0.0583 (24.6s) | lr 5.616e-04 | updates 1265/17250
Ep 12 | train_loss 3.4209, acc 0.0747 (167.7s) | val_loss 3.4665, acc 0.0747 (24.5s) | lr 5.575e-04 | updates 1380/17250
Ep 13 | train_loss 3.4365, acc 0.0766 (167.7s) | val_loss 3.4624, acc 0.0741 (24.2s) | lr 5.535e-04 | updates 1495/17250
Ep 14 | train_loss 3.4325, acc 0.0799 (167.7s) | val_loss 3.5070, acc 0.0649 (24.4s) | lr 5.494e-04 | updates 1610/17250
Ep 15 | train_loss 3.4199, acc 0.0807 (167.8s) | val_loss 3.4996, acc 0.0668 (24.5s) | lr 5.454e-04 | updates 1725/17250
Ep 16 | train_loss 3.4161, acc 0.0766 (167.7s) | val_loss 3.4836, acc 0.0673 (24.7s) | lr 5.414e-04 | updates 1840/17250
Ep 17 | train_loss 3.4045, acc 0.0750 (167.8s) | val_loss 3.5289, acc 0.0570 (24.6s) | lr 5.373e-04 | updates 1955/17250
Ep 18 | train_loss 3.4093, acc 0.0796 (167.8s) | val_loss 3.4885, acc 0.0733 (24.4s) | lr 5.333e-04 | updates 2070/17250
Ep 19 | train_loss 3.4020, acc 0.0810 (167.8s) | val_loss 3.4786, acc 0.0744 (24.7s) | lr 5.292e-04 | updates 2185/17250
Ep 20 | train_loss 3.3807, acc 0.0938 (167.7s) | val_loss 3.4695, acc 0.0725 (24.6s) | lr 5.252e-04 | updates 2300/17250
Ep 21 | train_loss 3.3868, acc 0.0785 (167.7s) | val_loss 3.4681, acc 0.0709 (24.7s) | lr 5.212e-04 | updates 2415/17250
Ep 22 | train_loss 3.3779, acc 0.0880 (167.7s) | val_loss 3.4792, acc 0.0692 (24.6s) | lr 5.171e-04 | updates 2530/17250
Ep 23 | train_loss 3.3567, acc 0.0927 (167.8s) | val_loss 3.5064, acc 0.0649 (24.6s) | lr 5.131e-04 | updates 2645/17250
Ep 24 | train_loss 3.3791, acc 0.0908 (167.7s) | val_loss 3.4677, acc 0.0725 (24.6s) | lr 5.090e-04 | updates 2760/17250
Ep 25 | train_loss 3.3548, acc 0.0959 (167.8s) | val_loss 3.4682, acc 0.0796 (24.2s) | lr 5.050e-04 | updates 2875/17250
Ep 26 | train_loss 3.3454, acc 0.0929 (167.7s) | val_loss 3.4794, acc 0.0679 (24.1s) | lr 5.010e-04 | updates 2990/17250
Ep 27 | train_loss 3.3614, acc 0.1005 (167.7s) | val_loss 3.4455, acc 0.0747 (24.9s) | lr 4.969e-04 | updates 3105/17250
Ep 28 | train_loss 3.3552, acc 0.0981 (167.8s) | val_loss 3.4511, acc 0.0760 (24.5s) | lr 4.929e-04 | updates 3220/17250
Ep 29 | train_loss 3.3498, acc 0.0957 (167.8s) | val_loss 3.4922, acc 0.0692 (24.5s) | lr 4.888e-04 | updates 3335/17250
Ep 30 | train_loss 3.3745, acc 0.0840 (167.8s) | val_loss 3.4373, acc 0.0812 (24.6s) | lr 4.848e-04 | updates 3450/17250
Ep 31 | train_loss 3.3639, acc 0.0957 (167.7s) | val_loss 3.4342, acc 0.0782 (24.1s) | lr 4.808e-04 | updates 3565/17250
Ep 32 | train_loss 3.3449, acc 0.0938 (167.7s) | val_loss 3.4732, acc 0.0717 (24.5s) | lr 4.767e-04 | updates 3680/17250
Ep 33 | train_loss 3.3417, acc 0.0913 (167.8s) | val_loss 3.5053, acc 0.0635 (24.2s) | lr 4.727e-04 | updates 3795/17250
Ep 34 | train_loss 3.3482, acc 0.0970 (167.7s) | val_loss 3.4431, acc 0.0736 (24.4s) | lr 4.686e-04 | updates 3910/17250
Ep 35 | train_loss 3.3379, acc 0.1005 (167.8s) | val_loss 3.4654, acc 0.0769 (24.6s) | lr 4.646e-04 | updates 4025/17250
Ep 36 | train_loss 3.3546, acc 0.0916 (167.8s) | val_loss 3.4560, acc 0.0820 (24.3s) | lr 4.606e-04 | updates 4140/17250
Ep 37 | train_loss 3.3143, acc 0.1109 (167.8s) | val_loss 3.4592, acc 0.0782 (24.6s) | lr 4.565e-04 | updates 4255/17250
Ep 38 | train_loss 3.3330, acc 0.0976 (167.8s) | val_loss 3.4427, acc 0.0807 (24.6s) | lr 4.525e-04 | updates 4370/17250
Ep 39 | train_loss 3.3249, acc 0.1019 (167.8s) | val_loss 3.4580, acc 0.0766 (24.7s) | lr 4.484e-04 | updates 4485/17250
Ep 40 | train_loss 3.3095, acc 0.1087 (167.7s) | val_loss 3.4643, acc 0.0796 (24.4s) | lr 4.444e-04 | updates 4600/17250
Ep 41 | train_loss 3.3348, acc 0.0986 (167.7s) | val_loss 3.4489, acc 0.0804 (24.5s) | lr 4.404e-04 | updates 4715/17250
Ep 42 | train_loss 3.3072, acc 0.1046 (167.7s) | val_loss 3.4275, acc 0.0820 (24.7s) | lr 4.363e-04 | updates 4830/17250
Ep 43 | train_loss 3.3194, acc 0.1038 (167.7s) | val_loss 3.4567, acc 0.0695 (24.5s) | lr 4.323e-04 | updates 4945/17250
Ep 44 | train_loss 3.3279, acc 0.1038 (167.8s) | val_loss 3.4446, acc 0.0809 (24.5s) | lr 4.282e-04 | updates 5060/17250
Ep 45 | train_loss 3.2885, acc 0.1109 (167.8s) | val_loss 3.4369, acc 0.0750 (24.5s) | lr 4.242e-04 | updates 5175/17250
Ep 46 | train_loss 3.2808, acc 0.1022 (167.8s) | val_loss 3.3972, acc 0.0864 (24.3s) | lr 4.202e-04 | updates 5290/17250
Ep 47 | train_loss 3.2703, acc 0.1084 (167.7s) | val_loss 3.4442, acc 0.0692 (24.6s) | lr 4.161e-04 | updates 5405/17250
