Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 4.4873, acc 0.0333 (664.7s) | val_loss 4.0800, acc 0.0647 (222.8s) | lr 4.125e-04 | updates 32/4800
Ep  2 | train_loss 4.1197, acc 0.0520 (643.4s) | val_loss 3.8995, acc 0.0833 (219.2s) | lr 5.979e-04 | updates 64/4800
Ep  3 | train_loss 3.9136, acc 0.0686 (675.2s) | val_loss 3.7666, acc 0.1147 (222.6s) | lr 5.938e-04 | updates 96/4800
Ep  4 | train_loss 3.7475, acc 0.0922 (652.1s) | val_loss 3.6436, acc 0.1137 (218.6s) | lr 5.898e-04 | updates 128/4800
Ep  5 | train_loss 3.5943, acc 0.1265 (642.0s) | val_loss 3.5228, acc 0.1265 (215.4s) | lr 5.857e-04 | updates 160/4800
Ep  6 | train_loss 3.5137, acc 0.1225 (640.6s) | val_loss 3.4192, acc 0.1559 (214.8s) | lr 5.817e-04 | updates 192/4800
Ep  7 | train_loss 3.3659, acc 0.1422 (627.9s) | val_loss 3.4291, acc 0.1480 (212.5s) | lr 5.777e-04 | updates 224/4800
Ep  8 | train_loss 3.2967, acc 0.1627 (632.6s) | val_loss 3.3440, acc 0.1804 (223.1s) | lr 5.736e-04 | updates 256/4800
Ep  9 | train_loss 3.3219, acc 0.1520 (629.0s) | val_loss 3.3907, acc 0.1676 (217.3s) | lr 5.696e-04 | updates 288/4800
Ep 10 | train_loss 3.2156, acc 0.1765 (626.7s) | val_loss 3.2001, acc 0.2088 (225.6s) | lr 5.655e-04 | updates 320/4800
Ep 11 | train_loss 3.0474, acc 0.1990 (653.7s) | val_loss 3.3691, acc 0.1843 (226.9s) | lr 5.615e-04 | updates 352/4800
Ep 12 | train_loss 3.0587, acc 0.2118 (633.5s) | val_loss 3.1315, acc 0.2196 (230.2s) | lr 5.574e-04 | updates 384/4800
Ep 13 | train_loss 2.9029, acc 0.2402 (652.9s) | val_loss 3.1078, acc 0.2333 (228.7s) | lr 5.534e-04 | updates 416/4800
Ep 14 | train_loss 2.8742, acc 0.2480 (661.2s) | val_loss 3.0606, acc 0.2373 (230.3s) | lr 5.494e-04 | updates 448/4800
Ep 15 | train_loss 2.7956, acc 0.2559 (646.6s) | val_loss 3.0513, acc 0.2353 (227.7s) | lr 5.453e-04 | updates 480/4800
Ep 16 | train_loss 2.7435, acc 0.2637 (660.1s) | val_loss 2.9859, acc 0.2627 (227.4s) | lr 5.413e-04 | updates 512/4800
