Epochs: 75
------------------------------------------------------------------------
Ep  1 | train_loss 1.3803, acc 0.4672 (252.9s) | val_loss 1.0916, acc 0.5790 (20.2s) | lr 5.980e-04 | updates 1875/140625
Ep  2 | train_loss 0.9675, acc 0.6242 (256.2s) | val_loss 0.8842, acc 0.6499 (20.1s) | lr 5.899e-04 | updates 3750/140625
Ep  3 | train_loss 0.8891, acc 0.6532 (254.0s) | val_loss 0.9108, acc 0.6520 (20.3s) | lr 5.818e-04 | updates 5625/140625
Ep  4 | train_loss 0.8510, acc 0.6672 (252.2s) | val_loss 0.7715, acc 0.6995 (20.1s) | lr 5.737e-04 | updates 7500/140625
Ep  5 | train_loss 0.8215, acc 0.6789 (253.6s) | val_loss 0.7642, acc 0.7056 (20.1s) | lr 5.657e-04 | updates 9375/140625
Ep  6 | train_loss 0.7938, acc 0.6909 (247.7s) | val_loss 0.7399, acc 0.7074 (19.6s) | lr 5.576e-04 | updates 11250/140625
Ep  7 | train_loss 0.7714, acc 0.6978 (248.3s) | val_loss 0.7239, acc 0.7108 (19.5s) | lr 5.495e-04 | updates 13125/140625
Ep  8 | train_loss 0.7526, acc 0.7079 (249.3s) | val_loss 0.7293, acc 0.7212 (19.8s) | lr 5.414e-04 | updates 15000/140625
Ep  9 | train_loss 0.7349, acc 0.7130 (248.8s) | val_loss 0.7152, acc 0.7247 (19.7s) | lr 5.333e-04 | updates 16875/140625
Ep 10 | train_loss 0.7161, acc 0.7210 (249.2s) | val_loss 0.6678, acc 0.7383 (19.3s) | lr 5.252e-04 | updates 18750/140625
Ep 11 | train_loss 0.7064, acc 0.7255 (250.1s) | val_loss 0.6333, acc 0.7560 (19.6s) | lr 5.172e-04 | updates 20625/140625
Ep 12 | train_loss 0.6974, acc 0.7308 (249.5s) | val_loss 0.6719, acc 0.7394 (19.5s) | lr 5.091e-04 | updates 22500/140625
Ep 13 | train_loss 0.6912, acc 0.7308 (249.1s) | val_loss 0.6542, acc 0.7453 (19.8s) | lr 5.010e-04 | updates 24375/140625
Ep 14 | train_loss 0.6755, acc 0.7374 (253.7s) | val_loss 0.6700, acc 0.7364 (19.7s) | lr 4.929e-04 | updates 26250/140625
Ep 15 | train_loss 0.6680, acc 0.7419 (252.4s) | val_loss 0.6431, acc 0.7445 (19.5s) | lr 4.848e-04 | updates 28125/140625
Ep 16 | train_loss 0.6636, acc 0.7438 (249.0s) | val_loss 0.6205, acc 0.7675 (19.6s) | lr 4.768e-04 | updates 30000/140625
Ep 17 | train_loss 0.6538, acc 0.7464 (253.1s) | val_loss 0.5931, acc 0.7780 (19.7s) | lr 4.687e-04 | updates 31875/140625
Ep 18 | train_loss 0.6485, acc 0.7519 (251.7s) | val_loss 0.6218, acc 0.7639 (19.9s) | lr 4.606e-04 | updates 33750/140625
Ep 19 | train_loss 0.6373, acc 0.7551 (249.3s) | val_loss 0.6701, acc 0.7456 (19.6s) | lr 4.525e-04 | updates 35625/140625
Ep 20 | train_loss 0.6453, acc 0.7507 (248.8s) | val_loss 0.6814, acc 0.7489 (19.6s) | lr 4.444e-04 | updates 37500/140625
Ep 21 | train_loss 0.6296, acc 0.7575 (249.1s) | val_loss 0.6067, acc 0.7613 (19.6s) | lr 4.364e-04 | updates 39375/140625
Ep 22 | train_loss 0.6230, acc 0.7601 (249.3s) | val_loss 0.5733, acc 0.7877 (19.5s) | lr 4.283e-04 | updates 41250/140625
Ep 23 | train_loss 0.6161, acc 0.7634 (250.1s) | val_loss 0.5930, acc 0.7757 (19.7s) | lr 4.202e-04 | updates 43125/140625
Ep 24 | train_loss 0.6108, acc 0.7644 (248.9s) | val_loss 0.6010, acc 0.7768 (19.8s) | lr 4.121e-04 | updates 45000/140625
Ep 25 | train_loss 0.6057, acc 0.7671 (249.0s) | val_loss 0.6319, acc 0.7420 (19.7s) | lr 4.040e-04 | updates 46875/140625
Ep 26 | train_loss 0.6011, acc 0.7690 (250.2s) | val_loss 0.5867, acc 0.7726 (19.7s) | lr 3.960e-04 | updates 48750/140625
