Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 4.4812, acc 0.0225 (57.2s) | val_loss 4.0388, acc 0.0637 (13.0s) | lr 4.250e-04 | updates 16/2400
Ep  2 | train_loss 3.9962, acc 0.0618 (56.1s) | val_loss 3.8114, acc 0.0863 (13.5s) | lr 5.977e-04 | updates 32/2400
Ep  3 | train_loss 3.7780, acc 0.0843 (56.0s) | val_loss 3.6406, acc 0.1255 (13.1s) | lr 5.937e-04 | updates 48/2400
Ep  4 | train_loss 3.5477, acc 0.1049 (56.2s) | val_loss 3.4783, acc 0.1422 (12.9s) | lr 5.896e-04 | updates 64/2400
Ep  5 | train_loss 3.3575, acc 0.1637 (56.0s) | val_loss 3.3439, acc 0.1765 (13.6s) | lr 5.856e-04 | updates 80/2400
Ep  6 | train_loss 3.1970, acc 0.1804 (55.8s) | val_loss 3.2085, acc 0.2137 (13.8s) | lr 5.816e-04 | updates 96/2400
Ep  7 | train_loss 3.0514, acc 0.2255 (55.8s) | val_loss 3.1970, acc 0.2216 (12.3s) | lr 5.775e-04 | updates 112/2400
Ep  8 | train_loss 2.9130, acc 0.2569 (55.8s) | val_loss 3.0813, acc 0.2431 (13.3s) | lr 5.735e-04 | updates 128/2400
Ep  9 | train_loss 2.8214, acc 0.2647 (55.8s) | val_loss 3.0538, acc 0.2373 (14.1s) | lr 5.694e-04 | updates 144/2400
Ep 10 | train_loss 2.7143, acc 0.2676 (55.8s) | val_loss 3.0321, acc 0.2451 (13.8s) | lr 5.654e-04 | updates 160/2400
Ep 11 | train_loss 2.6448, acc 0.2686 (55.8s) | val_loss 2.9741, acc 0.2608 (12.3s) | lr 5.614e-04 | updates 176/2400
Ep 12 | train_loss 2.5798, acc 0.3010 (55.8s) | val_loss 2.9890, acc 0.2510 (13.6s) | lr 5.573e-04 | updates 192/2400
Ep 13 | train_loss 2.4780, acc 0.3314 (55.8s) | val_loss 2.9697, acc 0.2608 (13.5s) | lr 5.533e-04 | updates 208/2400
Ep 14 | train_loss 2.4241, acc 0.3304 (55.8s) | val_loss 2.9197, acc 0.2882 (14.0s) | lr 5.492e-04 | updates 224/2400
Ep 15 | train_loss 2.3475, acc 0.3569 (55.8s) | val_loss 2.8582, acc 0.2735 (13.9s) | lr 5.452e-04 | updates 240/2400
Ep 16 | train_loss 2.2476, acc 0.3794 (55.8s) | val_loss 2.8907, acc 0.2824 (13.8s) | lr 5.412e-04 | updates 256/2400
Ep 17 | train_loss 2.2150, acc 0.3902 (55.8s) | val_loss 2.8967, acc 0.2990 (14.1s) | lr 5.371e-04 | updates 272/2400
Ep 18 | train_loss 2.1448, acc 0.3941 (55.8s) | val_loss 2.8534, acc 0.3000 (13.7s) | lr 5.331e-04 | updates 288/2400
