Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 4.5296, acc 0.0206 (58.0s) | val_loss 4.0555, acc 0.0745 (13.8s) | lr 4.250e-04 | updates 16/2400
Ep  2 | train_loss 4.0717, acc 0.0500 (57.1s) | val_loss 3.8715, acc 0.0931 (13.1s) | lr 5.977e-04 | updates 32/2400
Ep  3 | train_loss 3.8194, acc 0.0794 (57.0s) | val_loss 3.6751, acc 0.1118 (12.8s) | lr 5.937e-04 | updates 48/2400
Ep  4 | train_loss 3.6245, acc 0.1088 (57.1s) | val_loss 3.4941, acc 0.1657 (13.3s) | lr 5.896e-04 | updates 64/2400
Ep  5 | train_loss 3.4292, acc 0.1422 (57.1s) | val_loss 3.3818, acc 0.1657 (12.5s) | lr 5.856e-04 | updates 80/2400
Ep  6 | train_loss 3.2901, acc 0.1598 (56.9s) | val_loss 3.2756, acc 0.1843 (12.8s) | lr 5.816e-04 | updates 96/2400
Ep  7 | train_loss 3.0877, acc 0.2059 (57.2s) | val_loss 3.2103, acc 0.2098 (13.4s) | lr 5.775e-04 | updates 112/2400
Ep  8 | train_loss 3.0186, acc 0.2167 (57.0s) | val_loss 3.1859, acc 0.2118 (13.7s) | lr 5.735e-04 | updates 128/2400
Ep  9 | train_loss 2.8995, acc 0.2275 (56.9s) | val_loss 3.1212, acc 0.2255 (13.7s) | lr 5.694e-04 | updates 144/2400
Ep 10 | train_loss 2.8197, acc 0.2539 (57.1s) | val_loss 3.0504, acc 0.2431 (12.7s) | lr 5.654e-04 | updates 160/2400
Ep 11 | train_loss 2.7461, acc 0.2578 (56.9s) | val_loss 3.0825, acc 0.2402 (13.3s) | lr 5.614e-04 | updates 176/2400
Ep 12 | train_loss 2.7103, acc 0.2794 (56.8s) | val_loss 2.9911, acc 0.2598 (14.1s) | lr 5.573e-04 | updates 192/2400
Ep 13 | train_loss 2.6210, acc 0.2912 (57.0s) | val_loss 2.9734, acc 0.2696 (13.3s) | lr 5.533e-04 | updates 208/2400
Ep 14 | train_loss 2.5096, acc 0.3255 (57.0s) | val_loss 2.9880, acc 0.2765 (13.7s) | lr 5.492e-04 | updates 224/2400
Ep 15 | train_loss 2.4398, acc 0.3353 (57.0s) | val_loss 2.9580, acc 0.2618 (13.1s) | lr 5.452e-04 | updates 240/2400
Ep 16 | train_loss 2.3480, acc 0.3833 (56.9s) | val_loss 2.9198, acc 0.2931 (13.5s) | lr 5.412e-04 | updates 256/2400
Ep 17 | train_loss 2.2311, acc 0.4039 (56.9s) | val_loss 2.8799, acc 0.2912 (12.3s) | lr 5.371e-04 | updates 272/2400
Ep 18 | train_loss 2.1656, acc 0.3961 (57.0s) | val_loss 2.8788, acc 0.3029 (12.9s) | lr 5.331e-04 | updates 288/2400
Ep 19 | train_loss 2.1625, acc 0.4078 (56.9s) | val_loss 2.8381, acc 0.3108 (13.1s) | lr 5.290e-04 | updates 304/2400
Ep 20 | train_loss 2.0683, acc 0.4294 (57.0s) | val_loss 2.8275, acc 0.2804 (14.0s) | lr 5.250e-04 | updates 320/2400
Ep 21 | train_loss 2.0418, acc 0.4265 (57.1s) | val_loss 2.7772, acc 0.3059 (13.7s) | lr 5.210e-04 | updates 336/2400
Ep 22 | train_loss 1.9433, acc 0.4569 (56.9s) | val_loss 2.7363, acc 0.3186 (13.6s) | lr 5.169e-04 | updates 352/2400
Ep 23 | train_loss 1.8541, acc 0.4716 (57.1s) | val_loss 2.7677, acc 0.3304 (13.2s) | lr 5.129e-04 | updates 368/2400
Ep 24 | train_loss 1.8130, acc 0.4735 (56.8s) | val_loss 2.8193, acc 0.3039 (14.0s) | lr 5.088e-04 | updates 384/2400
