Epochs: 75
------------------------------------------------------------------------
Ep  1 | train_loss 1.5040, acc 0.4297 (38.3s) | val_loss 1.1830, acc 0.5142 (2.4s) | lr 5.980e-04 | updates 1875/140625
Ep  2 | train_loss 1.1732, acc 0.5490 (37.7s) | val_loss 0.9703, acc 0.6191 (2.3s) | lr 5.899e-04 | updates 3750/140625
Ep  3 | train_loss 0.9645, acc 0.6249 (37.7s) | val_loss 0.8994, acc 0.6480 (2.4s) | lr 5.818e-04 | updates 5625/140625
Ep  4 | train_loss 0.8826, acc 0.6553 (37.7s) | val_loss 0.8208, acc 0.6635 (2.4s) | lr 5.737e-04 | updates 7500/140625
Ep  5 | train_loss 0.8302, acc 0.6767 (37.7s) | val_loss 0.8013, acc 0.6862 (2.4s) | lr 5.657e-04 | updates 9375/140625
Ep  6 | train_loss 0.8038, acc 0.6881 (37.7s) | val_loss 0.7923, acc 0.6948 (2.4s) | lr 5.576e-04 | updates 11250/140625
Ep  7 | train_loss 0.7987, acc 0.6898 (37.7s) | val_loss 0.7375, acc 0.7170 (2.4s) | lr 5.495e-04 | updates 13125/140625
Ep  8 | train_loss 0.7709, acc 0.7019 (37.7s) | val_loss 0.9028, acc 0.6631 (2.4s) | lr 5.414e-04 | updates 15000/140625
Ep  9 | train_loss 0.7573, acc 0.7070 (37.8s) | val_loss 0.7610, acc 0.7180 (2.4s) | lr 5.333e-04 | updates 16875/140625
Ep 10 | train_loss 0.7326, acc 0.7174 (37.7s) | val_loss 0.6965, acc 0.7371 (2.4s) | lr 5.252e-04 | updates 18750/140625
Ep 11 | train_loss 0.7242, acc 0.7226 (37.7s) | val_loss 0.7349, acc 0.7016 (2.4s) | lr 5.172e-04 | updates 20625/140625
Ep 12 | train_loss 0.7197, acc 0.7232 (37.7s) | val_loss 0.7127, acc 0.7232 (2.4s) | lr 5.091e-04 | updates 22500/140625
Ep 13 | train_loss 0.7097, acc 0.7276 (37.8s) | val_loss 0.7158, acc 0.7252 (2.4s) | lr 5.010e-04 | updates 24375/140625
Ep 14 | train_loss 0.6972, acc 0.7329 (37.7s) | val_loss 0.7326, acc 0.7228 (2.4s) | lr 4.929e-04 | updates 26250/140625
Ep 15 | train_loss 0.6793, acc 0.7387 (37.7s) | val_loss 0.6958, acc 0.7354 (2.4s) | lr 4.848e-04 | updates 28125/140625
Ep 16 | train_loss 0.6715, acc 0.7439 (37.7s) | val_loss 0.6667, acc 0.7522 (2.4s) | lr 4.768e-04 | updates 30000/140625
Ep 17 | train_loss 0.6594, acc 0.7494 (37.7s) | val_loss 0.6619, acc 0.7535 (2.4s) | lr 4.687e-04 | updates 31875/140625
Ep 18 | train_loss 0.6491, acc 0.7516 (37.7s) | val_loss 0.5908, acc 0.7764 (2.4s) | lr 4.606e-04 | updates 33750/140625
Ep 19 | train_loss 0.6392, acc 0.7537 (37.7s) | val_loss 0.6280, acc 0.7549 (2.4s) | lr 4.525e-04 | updates 35625/140625
Ep 20 | train_loss 0.6360, acc 0.7561 (37.7s) | val_loss 0.5540, acc 0.7896 (2.4s) | lr 4.444e-04 | updates 37500/140625
Ep 21 | train_loss 0.6231, acc 0.7635 (37.6s) | val_loss 0.6029, acc 0.7691 (2.4s) | lr 4.364e-04 | updates 39375/140625
Ep 22 | train_loss 0.6127, acc 0.7643 (37.7s) | val_loss 0.5886, acc 0.7753 (2.3s) | lr 4.283e-04 | updates 41250/140625
Ep 23 | train_loss 0.6028, acc 0.7690 (37.8s) | val_loss 0.5998, acc 0.7750 (2.4s) | lr 4.202e-04 | updates 43125/140625
Ep 24 | train_loss 0.5962, acc 0.7719 (37.7s) | val_loss 0.5220, acc 0.8046 (2.4s) | lr 4.121e-04 | updates 45000/140625
Ep 25 | train_loss 0.5908, acc 0.7738 (37.7s) | val_loss 0.5727, acc 0.7814 (2.4s) | lr 4.040e-04 | updates 46875/140625
Ep 26 | train_loss 0.5874, acc 0.7742 (37.7s) | val_loss 0.5683, acc 0.7827 (2.4s) | lr 3.960e-04 | updates 48750/140625
Ep 27 | train_loss 0.5793, acc 0.7790 (37.8s) | val_loss 0.5751, acc 0.7793 (2.4s) | lr 3.879e-04 | updates 50625/140625
Ep 28 | train_loss 0.5780, acc 0.7799 (37.8s) | val_loss 0.5336, acc 0.7993 (2.4s) | lr 3.798e-04 | updates 52500/140625
Ep 29 | train_loss 0.5724, acc 0.7808 (37.7s) | val_loss 0.4953, acc 0.8152 (2.4s) | lr 3.717e-04 | updates 54375/140625
Ep 30 | train_loss 0.5606, acc 0.7840 (37.6s) | val_loss 0.5085, acc 0.8080 (2.4s) | lr 3.636e-04 | updates 56250/140625
Ep 31 | train_loss 0.5559, acc 0.7872 (37.7s) | val_loss 0.5402, acc 0.8021 (2.4s) | lr 3.556e-04 | updates 58125/140625
Ep 32 | train_loss 0.5522, acc 0.7884 (37.7s) | val_loss 0.5240, acc 0.8028 (2.4s) | lr 3.475e-04 | updates 60000/140625
Ep 33 | train_loss 0.5477, acc 0.7895 (37.8s) | val_loss 0.5170, acc 0.8067 (2.4s) | lr 3.394e-04 | updates 61875/140625
Ep 34 | train_loss 0.5414, acc 0.7936 (37.7s) | val_loss 0.5132, acc 0.8031 (2.4s) | lr 3.313e-04 | updates 63750/140625
Ep 35 | train_loss 0.5391, acc 0.7928 (37.7s) | val_loss 0.4931, acc 0.8128 (2.4s) | lr 3.232e-04 | updates 65625/140625
Ep 36 | train_loss 0.5334, acc 0.7967 (37.7s) | val_loss 0.4877, acc 0.8121 (2.4s) | lr 3.151e-04 | updates 67500/140625
Ep 37 | train_loss 0.5274, acc 0.7979 (37.7s) | val_loss 0.4759, acc 0.8182 (2.4s) | lr 3.071e-04 | updates 69375/140625
Ep 38 | train_loss 0.5260, acc 0.8001 (37.8s) | val_loss 0.4777, acc 0.8132 (2.4s) | lr 2.990e-04 | updates 71250/140625
Ep 39 | train_loss 0.5217, acc 0.8014 (37.7s) | val_loss 0.5021, acc 0.8132 (2.4s) | lr 2.909e-04 | updates 73125/140625
Ep 40 | train_loss 0.5173, acc 0.8026 (37.8s) | val_loss 0.4640, acc 0.8237 (2.4s) | lr 2.828e-04 | updates 75000/140625
Ep 41 | train_loss 0.5171, acc 0.8037 (37.6s) | val_loss 0.4970, acc 0.8106 (2.4s) | lr 2.747e-04 | updates 76875/140625
Ep 42 | train_loss 0.5075, acc 0.8066 (37.7s) | val_loss 0.4781, acc 0.8184 (2.4s) | lr 2.667e-04 | updates 78750/140625
Ep 43 | train_loss 0.5055, acc 0.8072 (37.7s) | val_loss 0.4815, acc 0.8215 (2.4s) | lr 2.586e-04 | updates 80625/140625
Ep 44 | train_loss 0.4994, acc 0.8099 (37.7s) | val_loss 0.4700, acc 0.8207 (2.3s) | lr 2.505e-04 | updates 82500/140625
Ep 45 | train_loss 0.4981, acc 0.8097 (37.9s) | val_loss 0.4455, acc 0.8332 (2.4s) | lr 2.424e-04 | updates 84375/140625
Ep 46 | train_loss 0.4904, acc 0.8144 (37.7s) | val_loss 0.4625, acc 0.8260 (2.4s) | lr 2.343e-04 | updates 86250/140625
Ep 47 | train_loss 0.4880, acc 0.8137 (37.7s) | val_loss 0.4494, acc 0.8352 (2.3s) | lr 2.263e-04 | updates 88125/140625
Ep 48 | train_loss 0.4823, acc 0.8175 (37.9s) | val_loss 0.4884, acc 0.8136 (2.4s) | lr 2.182e-04 | updates 90000/140625
Ep 49 | train_loss 0.4747, acc 0.8192 (37.7s) | val_loss 0.4597, acc 0.8305 (2.4s) | lr 2.101e-04 | updates 91875/140625
Ep 50 | train_loss 0.4714, acc 0.8234 (37.8s) | val_loss 0.4402, acc 0.8346 (2.4s) | lr 2.020e-04 | updates 93750/140625
Ep 51 | train_loss 0.4689, acc 0.8223 (37.7s) | val_loss 0.4228, acc 0.8413 (2.4s) | lr 1.939e-04 | updates 95625/140625
Ep 52 | train_loss 0.4596, acc 0.8271 (37.7s) | val_loss 0.4243, acc 0.8419 (2.4s) | lr 1.859e-04 | updates 97500/140625
Ep 53 | train_loss 0.4564, acc 0.8278 (37.7s) | val_loss 0.4355, acc 0.8372 (2.4s) | lr 1.778e-04 | updates 99375/140625
Ep 54 | train_loss 0.4543, acc 0.8278 (37.7s) | val_loss 0.4121, acc 0.8406 (2.4s) | lr 1.697e-04 | updates 101250/140625
Ep 55 | train_loss 0.4468, acc 0.8322 (37.7s) | val_loss 0.4258, acc 0.8393 (2.4s) | lr 1.616e-04 | updates 103125/140625
Ep 56 | train_loss 0.4454, acc 0.8323 (37.7s) | val_loss 0.4265, acc 0.8379 (2.4s) | lr 1.535e-04 | updates 105000/140625
Ep 57 | train_loss 0.4357, acc 0.8364 (37.7s) | val_loss 0.3984, acc 0.8523 (2.4s) | lr 1.454e-04 | updates 106875/140625
Ep 58 | train_loss 0.4302, acc 0.8382 (37.6s) | val_loss 0.4162, acc 0.8430 (2.4s) | lr 1.374e-04 | updates 108750/140625
Ep 59 | train_loss 0.4287, acc 0.8398 (37.8s) | val_loss 0.4175, acc 0.8456 (2.4s) | lr 1.293e-04 | updates 110625/140625
Ep 60 | train_loss 0.4183, acc 0.8412 (37.7s) | val_loss 0.4003, acc 0.8492 (2.4s) | lr 1.212e-04 | updates 112500/140625
Ep 61 | train_loss 0.4155, acc 0.8444 (37.7s) | val_loss 0.4140, acc 0.8474 (2.4s) | lr 1.131e-04 | updates 114375/140625
Ep 62 | train_loss 0.4120, acc 0.8447 (37.7s) | val_loss 0.3781, acc 0.8562 (2.4s) | lr 1.050e-04 | updates 116250/140625
Ep 63 | train_loss 0.4027, acc 0.8495 (37.8s) | val_loss 0.3761, acc 0.8608 (2.4s) | lr 9.697e-05 | updates 118125/140625
Ep 64 | train_loss 0.4000, acc 0.8488 (37.7s) | val_loss 0.3770, acc 0.8597 (2.4s) | lr 8.888e-05 | updates 120000/140625
Ep 65 | train_loss 0.3913, acc 0.8543 (37.7s) | val_loss 0.3859, acc 0.8555 (2.3s) | lr 8.080e-05 | updates 121875/140625
Ep 66 | train_loss 0.3890, acc 0.8540 (37.8s) | val_loss 0.3550, acc 0.8654 (2.3s) | lr 7.272e-05 | updates 123750/140625
Ep 67 | train_loss 0.3846, acc 0.8547 (37.7s) | val_loss 0.3657, acc 0.8651 (2.4s) | lr 6.464e-05 | updates 125625/140625
Ep 68 | train_loss 0.3773, acc 0.8584 (37.7s) | val_loss 0.3738, acc 0.8635 (2.4s) | lr 5.656e-05 | updates 127500/140625
Ep 69 | train_loss 0.3763, acc 0.8598 (37.8s) | val_loss 0.3647, acc 0.8663 (2.4s) | lr 4.848e-05 | updates 129375/140625
Ep 70 | train_loss 0.3653, acc 0.8633 (37.7s) | val_loss 0.3508, acc 0.8738 (2.4s) | lr 4.040e-05 | updates 131250/140625
